graph_name,balance,number_of_nodes,number_of_edges,node_of_max_density_subgraph,average_clustering,degree_assortativity_coefficient,local_efficiency,global_efficiency,diameter,average_shortest_path_length,wiener_index
complete-graph-016_1,False,600,1210,0.8233333333333334,0.02159920634920634,-0.12773455041039045,0.022136243386243377,0.20791622641817992,11,5.365865331107401,964246.0
complete-graph-0170_0,True,933,2223,0.3333333333333333,0.051859352984755004,0.2385923511145155,0.05673144191364991,0.1965220905700561,12,5.744430490963204,2497552.0
complete-graph-0170_1,False,694,2547,0.21181556195965417,0.06456672130303259,0.3854477680069187,0.09543740925070691,0.24887255322246576,9,4.53989462346811,1091713.0
complete-graph-0171_0,True,1609,4511,0.7197016780609073,0.042835170492100554,0.12016224586588001,0.04699885893173679,0.19347416290922534,11,5.721190504902461,7401138.0
complete-graph-0171_1,False,864,2497,0.11342592592592593,0.059603545888268133,0.6610122337974683,0.0935601920890447,0.19866451361362886,11,5.637327797090253,2101686.0
complete-graph-0172_0,True,735,1744,0.3333333333333333,0.03668610301263363,0.17705124316628235,0.039109347442680804,0.20421626156592557,10,5.56927468535098,1502284.0
complete-graph-0172_1,False,807,2907,0.14745972738537794,0.07902613358003703,0.3998465048608208,0.11911966225096865,0.2397882504612024,10,4.6835905430461136,1523202.0
complete-graph-0173_0,True,434,1273,0.728110599078341,0.06792662023076766,0.03465454001413917,0.07849024695222853,0.26506602790089817,7,4.21123657687764,395692.0
complete-graph-0173_1,False,983,2991,0.1688708036622584,0.07243794643112476,0.6031582841598169,0.09777202448900744,0.19556719558612404,10,5.709828800401116,2755866.0
complete-graph-0174_0,True,764,1942,0.5,0.04483909778412403,0.27649316649178973,0.04963623551647126,0.22210552152335855,9,5.0325115107765575,1466806.0
complete-graph-0174_1,False,695,2245,0.39568345323741005,0.06514705119021673,0.676229402532445,0.10045820771668652,0.21061639942837285,10,5.414836315385732,1305869.0
complete-graph-0175_0,True,177,566,0.9491525423728814,0.10092246109195255,-0.12888755066904087,0.12294718777769624,0.3369221879815285,6,3.3854006163328196,52731.0
complete-graph-0175_1,False,830,2246,0.16987951807228915,0.04408326613145896,0.4508679308548149,0.05580403989138938,0.20184601140130867,11,5.546726350516662,1908268.0
complete-graph-0176_0,True,1244,3463,0.7154340836012861,0.037893461486709155,0.16069855689749687,0.041455073820427644,0.1925096908007714,11,5.881574760782569,4547316.0
complete-graph-0176_1,False,704,2330,0.16477272727272727,0.059076884289952475,0.1458048459021154,0.07835694929394199,0.2390316794434272,11,4.743465504978663,1173799.0
complete-graph-0177_0,True,552,1138,0.8206521739130435,0.04118213710605017,-0.0787115462897518,0.04231438348286176,0.20647095781631203,10,5.4552460611799365,829612.0
complete-graph-0177_1,False,1037,3086,0.14657666345226616,0.051268029088665665,0.5964484171612513,0.06966202492308034,0.18665226922502867,11,6.044222828697274,3246751.0
complete-graph-0178_0,True,981,2294,0.24974515800203873,0.03662803953323835,0.21093937506182459,0.039047824980546715,0.19781307426211486,10,5.587690611412761,2685947.0
complete-graph-0178_1,False,777,2219,0.12226512226512226,0.050026142883285725,0.6341550095365183,0.07523985238270957,0.20322693959441432,10,5.527716965861296,1666474.0
complete-graph-0179_0,True,619,1271,0.8497576736672051,0.03265251173167168,-0.10250597813316407,0.03382183244864991,0.2099912008826431,10,5.274657423237187,1008889.0
complete-graph-0179_1,False,725,2492,0.16,0.056346698151971956,0.4058652058473295,0.07857487539720225,0.24665184298120474,9,4.527315679176986,1188194.0
complete-graph-017_0,True,1209,2445,0.8990901571546733,0.1299184686281459,-0.05720064259125704,0.14518601669139253,0.1472268472480482,15,7.832995086519975,5719935.0
